id,trajectory
7240454631145360683,"['The Peak Tower', 'Victoria Peak', 'Madame Tussauds']"
7240469846197275950,"['Tai O', 'Lamma Island']"
7240633084465483013,"['Tai Po', 'Lantau Island', 'Hong Kong-Zhuhai-Macao Bridge', 'Hong Kong Disneyland']"
7240702304666586410,"['Halfway Coffee', 'Coffee & Laundry', 'Joy Hing Roasted Meat', 'Temple Street Night Market']"
7240895292969602312,"['Tsing Yi', 'West Kowloon', 'Central', 'Kennedy Town Station', 'Hong Kong International Airport', 'AsiaWorld-Expo']"
7241130066007067931,"['Victoria Peak', 'Hong Kong International Airport', 'SkyCity Marriott Hotel', 'Central']"
7241591857233267973,"['Ngong Ping 360', 'Ngong Ping', 'Tian Tan Buddha', 'Mong Kok Night Market', 'Hong Kong-Zhuhai-Macao Bridge', 'Temple Street Night Market', 'Hong Kong Disneyland', 'Avenue Of Stars', 'Hong Kong International Airport']"
7241891339258957061,"['Hong Kong Space Museum', 'Hong Kong Science Museum']"
7241930881550535941,"['Lantau Island', 'Observation Wheel', 'Victoria Harbour', 'Hong Kong Disneyland', 'Hong Kong International Airport']"
7241940867215346946,"['Chungking Mansions', 'Clock Tower']"
7243057920219401478,"['Hong Kong International Airport', 'Choi Hung Estate', 'Tsim Sha Tsui', 'Hong Kong Disneyland', 'Ocean Park', 'K11 MUSEA']"
7243064060105723137,"['K11 MUSEA', 'Australia Dairy Company']"
7243251802068520238,"['Victoria Peak', 'The Peak Tower', 'Sky 100']"
7243382158491012353,"['Harbour Inn Cuisine', 'iSQUARE', 'Harbour City']"
7243397017450450182,"['Tsim Sha Tsui Station', 'K11 MUSEA', 'Man Mo Temple', 'Sha Tin Che Kung Temple', 'Bakehouse (Wan Chai)', ""Mak's Noodle"", 'Tsim Sha Tsui', 'Wong Tai Sin Station', 'Peel St', 'Sunny Bay Station', 'ifc mall', 'Wan Chai', 'M+', 'Yung Kee Restaurant', 'Mong Kok Station', 'Sneakers Street', 'Hong Kong International Airport']"
7244209918935354630,"['Hong Kong International Airport', 'Hong Kong Disneyland', 'Ngong Ping 360']"
7244317868760976686,"['Yat Lok Restaurant', 'Fu Wah Café']"
7244450518729329926,"['Hong Kong Disneyland', 'Ocean Park']"
7244544031496178951,"['Hong Kong International Airport', 'Citygate Outlets', 'Tian Tan Buddha', 'Lantau Island', 'Yip Fung Building', 'Sushi Raku', 'New Praya']"
7244901992030539013,"['Mong Kok', ""Ladies' Market"", 'Sneakers Street', 'Fa Yuen Street Market']"
7245479970473184518,"['Hong Kong International Airport', 'Hong Kong Park', 'Langham Place', 'Hong Kong Disneyland']"
7246335909547756806,"['Victoria Harbour', 'Avenue Of Stars', 'K11 MUSEA']"
7246624889984027911,"['Hong Kong International Airport', 'Tsing Yi Station', 'Kowloon Station', 'AsiaWorld-Expo']"
7246787741210447110,"['Wan Chai', 'Tsim Sha Tsui', 'Central', 'Sheung Wan']"
